Number Our Days	1976	1	1	no
King Kong	1976	0 (1)	2	no
Logan's Run	1976	0 (1)	2	no
One Flew over the Cuckoo's Nest	1975	5	9	yes
Barry Lyndon	1975	4	7	no
Jaws	1975	3	4	no
Dog Day Afternoon	1975	1	6	no
Nashville	1975	1	5	no
Shampoo	1975	1	4	no
The Sunshine Boys	1975	1	4	no
Angel and Big Joe	1975	1	1	no
Dersu Uzala	1975	1	1	no
The End of the Game	1975	1	1	no
Great (Great (Isambard Kingdom Brunel))	1975	1	1	no
The Man Who Skied Down Everest	1975	1	1	no
The Hindenburg	1975	0 (2)	3	no
The Godfather Part II	1974	6	11	yes
The Towering Inferno	1974	3	8	no
The Great Gatsby	1974	2	2	no
Chinatown	1974	1	11	no
Murder on the Orient Express	1974	1	6	no
Earthquake	1974	1 (1)	4	no
Alice Doesn't Live Here Anymore	1974	1	3	no
Amarcord	1974	1	3[3]	no
Harry and Tonto	1974	1	2	no
Closed Mondays	1974	1	1	no
Don't	1974	1	1	no
Hearts and Minds	1974	1	1	no
One-Eyed Men Are Kings (...borgnes sont rois, Les)	1974	1	1	no
The Sting	1973	7	10	yes
The Exorcist	1973	2	10	no
The Way We Were	1973	2	6	no
Cries and Whispers (Viskningar och rop)	1973	1	5	no
A Touch of Class	1973	1	5	no
Day for Night (La Nuit américaine)	1973	1	4	no
Paper Moon	1973	1	4	no
The Paper Chase	1973	1	3	no
Save the Tiger	1973	1	3	no
The Bolero	1973	1	1	no
Frank Film	1973	1	1	no
The Great American Cowboy	1973	1	1	no
Princeton: A Search for Answers	1973	1	1	no
The Godfather	1972	3	10[4]	yes
Cabaret	1972	8	10	no
The Poseidon Adventure	1972	1 (1)	8	no
Travels with My Aunt	1972	1	4	no
Butterflies Are Free	1972	1	3	no
The Candidate	1972	1	2	no
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)	1972	1	2	no
A Christmas Carol	1972	1	1[5]	no
Limelight	1972	1	1[6]	no
Marjoe	1972	1	1	no
Norman Rockwell's World... An American Dream	1972	1	1	no
This Tiny World	1972	1	1	no
The French Connection	1971	5	8	yes
Fiddler on the Roof	1971	3	8	no
The Last Picture Show	1971	2	8	no
Nicholas and Alexandra	1971	2	6	no
Sentinels of Silence	1971	2	2	no
Bedknobs and Broomsticks	1971	1	5	no
Summer of '42	1971	1	4	no
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)	1971	1	2	no
The Hospital	1971	1	2	no
Klute	1971	1	2	no
Shaft	1971	1	2	no
The Crunch Bird	1971	1	1	no
The Hellstrom Chronicle	1971	1	1	no
Patton	1970	7	10	yes
Ryan's Daughter	1970	2	4	no
Airport	1970	1	10	no
Love Story	1970	1	7	no
M*A*S*H	1970	1	5	no
Tora! Tora! Tora!	1970	1	5	no
Women in Love	1970	1	4	no
Lovers and Other Strangers	1970	1	3	no
Woodstock	1970	1	3	no
Cromwell	1970	1	2	no
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)	1970	1	2	no
Interviews with My Lai Veterans	1970	1	1	no
Is It Always Right to Be Right?	1970	1	1	no
Let It Be	1970	1	1	no
The Resurrection of Broncho Billy	1970	1	1	no
Midnight Cowboy	1969	3	7	yes
Butch Cassidy and the Sundance Kid	1969	4	7	no
Hello, Dolly!	1969	3	7	no
Z	1969	2	5	no
Anne of the Thousand Days	1969	1	10	no
They Shoot Horses, Don't They?	1969	1	9	no
Marooned	1969	1	3	no
The Magic Machines	1969	1	2	no
